1974-09-24 00:00:00 9.513 15.400 8.958
1974-09-26 00:00:00 8.104 14.700 10.398
1974-09-28 00:00:00 6.903 15.500 11.818
1974-10-01 00:00:00 5.099 15.200 7.071
1974-10-03 00:00:00 4.210 14.600 7.950
1974-10-05 00:00:00 4.075 13.800 6.444
1974-10-08 00:00:00 3.848 13.700 11.955
1974-10-10 00:00:00 4.197 13.400 7.269
1974-10-12 00:00:00 4.660 13.200 7.754
1974-10-15 00:00:00 5.335 13.100 6.338
1974-10-17 00:00:00 5.449 12.900 7.748
1974-10-19 00:00:00 4.735 12.900 8.391
1974-10-22 00:00:00 3.908 12.600 10.256
1974-10-25 00:00:00 3.327 11.800 19.058
1974-10-30 00:00:00 2.306 10.700 19.444
1974-10-31 00:00:00 2.142 9.900 20.552
1974-11-02 00:00:00 1.894 9.900 18.737
1974-11-05 00:00:00 1.626 9.500 19.925
1974-11-07 00:00:00 1.615 9.600 14.471
1974-11-09 00:00:00 1.455 9.500 16.240
1974-11-13 00:00:00 1.446 9.600 16.185
1974-11-14 00:00:00 1.357 9.400 16.325
1974-11-16 00:00:00 1.104 9.700 11.176
1974-11-19 00:00:00 0.795 9.600 12.526
1974-11-22 00:00:00 0.670 9.100 11.538
1974-11-23 00:00:00 0.666 9.000 11.427
1974-11-26 00:00:00 0.711 8.700 9.370
1974-11-28 00:00:00 0.799 8.400 12.365
1974-11-30 00:00:00 0.807 7.800 12.149
1974-12-03 00:00:00 0.784 7.900 12.597
1974-12-07 00:00:00 0.968 6.900 18.439
1974-12-12 00:00:00 1.528 7.100 14.817
1974-12-14 00:00:00 1.818 6.400 16.257
1974-12-17 00:00:00 2.088 6.600 16.384
1974-12-19 00:00:00 1.947 6.800 16.619
1974-12-21 00:00:00 1.815 6.100 16.251
1974-12-24 00:00:00 1.634 6.600 16.813
1974-12-28 00:00:00 1.421 6.600 13.965
1975-01-03 00:00:00 1.152 6.700 13.245
1975-01-04 00:00:00 1.183 6.500 13.137
1975-01-09 00:00:00 1.179 5.700 13.211
1975-01-10 00:00:00 1.131 6.000 14.588
1975-01-11 00:00:00 1.148 6.200 15.966
1975-01-14 00:00:00 1.195 6.300 11.086
1975-01-15 00:00:00 1.179 6.400 12.402
1975-01-16 00:00:00 1.158 6.700 13.719
1975-01-17 00:00:00 1.137 6.700 11.969
1975-01-18 00:00:00 1.222 6.700 10.219
1975-01-21 00:00:00 1.483 6.300 14.567
1975-01-22 00:00:00 1.570 6.500 12.947
1975-01-23 00:00:00 1.657 6.400 11.328
1975-01-28 00:00:00 1.478 5.600 12.249
1975-01-29 00:00:00 1.057 6.200 12.267
1975-01-30 00:00:00 1.033 6.200 12.285
1975-01-31 00:00:00 1.010 6.200 10.684
1975-02-01 00:00:00 0.953 6.400 9.084
1975-02-04 00:00:00 0.757 6.100 8.870
1975-02-05 00:00:00 0.755 6.000 9.191
1975-02-06 00:00:00 0.937 5.700 9.511
1975-02-07 00:00:00 1.138 5.500 8.880
1975-02-08 00:00:00 1.225 5.600 8.249
1975-02-11 00:00:00 1.502 5.600 8.237
1975-02-12 00:00:00 1.594 5.800 8.920
1975-02-13 00:00:00 1.687 5.800 9.603
1975-02-14 00:00:00 1.782 6.000 9.559
1975-02-15 00:00:00 1.680 5.700 9.405
1975-02-18 00:00:00 1.400 4.900 12.440
1975-02-19 00:00:00 1.310 5.300 10.310
1975-02-20 00:00:00 1.402 5.400 10.070
1975-02-21 00:00:00 1.461 5.200 9.376
1975-02-22 00:00:00 1.517 5.200 8.682
1975-02-25 00:00:00 1.845 5.400 13.002
1975-02-26 00:00:00 2.100 5.400 11.952
1975-02-27 00:00:00 2.143 5.200 10.902
1975-02-28 00:00:00 2.364 5.300 12.041
1975-03-01 00:00:00 2.413 5.500 13.179
1975-03-04 00:00:00 2.199 5.500 13.427
1975-03-05 00:00:00 2.013 5.700 13.971
1975-03-06 00:00:00 1.947 5.700 14.515
1975-03-08 00:00:00 1.794 5.600 15.562
1975-03-11 00:00:00 1.623 5.700 16.951
1975-03-13 00:00:00 1.911 5.600 20.050
1975-03-14 00:00:00 2.017 5.300 19.309
1975-03-15 00:00:00 2.229 5.400 18.858
1975-03-18 00:00:00 2.946 5.100 18.856
1975-03-19 00:00:00 3.214 4.600 19.079
1975-03-20 00:00:00 3.738 4.500 19.433
1975-03-22 00:00:00 4.467 4.600 20.873
1975-03-25 00:00:00 4.783 5.000 22.021
1975-03-26 00:00:00 4.896 4.600 22.036
1975-03-27 00:00:00 5.599 4.600 22.190
1975-03-28 00:00:00 5.694 4.800 21.935
1975-04-02 00:00:00 6.840 4.900 19.275
1975-04-03 00:00:00 7.543 4.900 19.266
1975-04-04 00:00:00 6.480 4.800 17.968
1975-04-08 00:00:00 6.254 5.000 16.268
1975-04-09 00:00:00 6.063 5.000 18.436
1975-04-10 00:00:00 6.165 5.000 17.844
1975-04-11 00:00:00 5.546 5.000 17.692
1975-04-12 00:00:00 5.607 5.100 17.613
1975-04-15 00:00:00 6.458 5.400 21.336
1975-04-16 00:00:00 7.318 5.500 18.766
1975-04-17 00:00:00 7.860 5.300 16.866
1975-04-18 00:00:00 8.633 5.600 20.044
1975-04-19 00:00:00 9.739 5.700 19.615
1975-04-22 00:00:00 14.330 5.900 16.449
1975-04-23 00:00:00 14.888 6.300 16.500
1975-04-24 00:00:00 15.845 6.600 17.670
1975-04-25 00:00:00 19.348 6.300 20.998
1975-04-26 00:00:00 19.925 6.300 37.204
1975-04-29 00:00:00 22.236 6.600 24.455
1975-04-30 00:00:00 22.016 7.400 33.585
1975-05-01 00:00:00 21.668 7.100 102.284
1975-05-03 00:00:00 20.746 7.300 79.366
1975-05-06 00:00:00 19.983 8.600 122.728
1975-05-07 00:00:00 19.525 8.700 89.077
1975-05-08 00:00:00 19.069 8.800 50.527
1975-05-10 00:00:00 19.117 9.000 44.564
1975-05-13 00:00:00 20.831 8.000 71.948
1975-05-14 00:00:00 22.776 8.200 109.358
1975-05-15 00:00:00 24.107 8.600 80.678
1975-05-16 00:00:00 26.217 9.200 87.508
1975-05-17 00:00:00 25.686 9.200 77.638
1975-05-21 00:00:00 26.076 9.400 79.019
1975-05-22 00:00:00 26.808 9.000 88.708
1975-05-23 00:00:00 26.493 8.400 75.427
1975-05-24 00:00:00 25.274 8.000 61.824
1975-05-27 00:00:00 25.758 10.500 56.206
1975-05-28 00:00:00 28.437 10.100 68.944
1975-05-29 00:00:00 29.400 11.100 59.162
1975-05-30 00:00:00 30.508 10.200 58.140
1975-05-31 00:00:00 31.687 9.400 52.620
1975-06-03 00:00:00 36.449 9.800 45.691
1975-06-04 00:00:00 38.711 10.000 44.169
1975-06-05 00:00:00 36.332 9.600 37.127
1975-06-06 00:00:00 34.054 9.500 40.292
1975-06-07 00:00:00 31.882 10.300 38.119
1975-06-10 00:00:00 27.027 12.200 39.883
1975-06-11 00:00:00 29.317 13.100 40.961
1975-06-12 00:00:00 31.455 12.500 41.939
1975-06-13 00:00:00 32.250 12.900 44.709
1975-06-14 00:00:00 33.756 12.400 47.680
1975-06-17 00:00:00 38.912 13.700 122.835
1975-06-19 00:00:00 45.149 13.600 165.080
1975-06-20 00:00:00 41.610 13.900 238.574
1975-06-21 00:00:00 40.649 15.000 241.719
1975-06-24 00:00:00 33.481 14.200 153.263
1975-06-25 00:00:00 28.903 14.100 180.681
1975-06-26 00:00:00 24.955 13.300 219.009
1975-06-27 00:00:00 21.551 13.500 216.043
1975-06-28 00:00:00 21.339 12.400 148.241
1975-07-01 00:00:00 20.708 13.800 33.585
1975-07-02 00:00:00 18.764 13.500 31.782
1975-07-03 00:00:00 17.175 13.900 25.339
1975-07-04 00:00:00 16.357 14.700 20.269
1975-07-05 00:00:00 16.642 14.600 18.277
1975-07-08 00:00:00 17.235 15.900 16.303
1975-07-09 00:00:00 18.088 15.400 16.045
1975-07-10 00:00:00 19.091 16.000 21.197
1975-07-11 00:00:00 21.492 15.800 21.045
1975-07-12 00:00:00 24.313 15.600 25.505
1975-07-15 00:00:00 33.454 16.400 21.983
1975-07-16 00:00:00 35.955 15.100 29.442
1975-07-17 00:00:00 42.765 16.300 36.850
1975-07-18 00:00:00 48.667 15.700 25.684
1975-07-19 00:00:00 47.472 16.000 25.164
1975-07-22 00:00:00 43.422 16.500 31.905
1975-07-23 00:00:00 38.080 16.300 33.734
1975-07-24 00:00:00 34.872 16.600 32.983
1975-07-25 00:00:00 32.054 16.300 31.802
1975-07-26 00:00:00 28.697 12.700 33.777
1975-07-29 00:00:00 20.676 16.100 91.302
1975-07-30 00:00:00 20.118 16.500 165.587
1975-07-31 00:00:00 19.428 17.200 180.503
1975-08-01 00:00:00 18.049 17.800 192.156
1975-08-02 00:00:00 18.272 17.400 460.310
1975-08-05 00:00:00 18.974 18.500 193.271
1975-08-06 00:00:00 17.868 19.200 194.049
1975-08-07 00:00:00 18.402 18.600 162.168
1975-08-08 00:00:00 18.269 18.700 197.941
1975-08-09 00:00:00 18.772 19.200 173.881
1975-08-12 00:00:00 23.339 18.700 107.246
1975-08-13 00:00:00 24.357 18.800 192.709
1975-08-14 00:00:00 26.472 19.300 189.913
1975-08-15 00:00:00 28.783 19.000 207.474
1975-08-16 00:00:00 31.309 18.600 155.962
1975-08-19 00:00:00 37.587 17.100 118.483
1975-08-20 00:00:00 41.640 17.400 125.228
1975-08-21 00:00:00 41.271 18.000 196.313
1975-08-22 00:00:00 40.905 17.900 169.596
1975-08-23 00:00:00 40.542 17.900 172.122
1975-08-26 00:00:00 30.331 17.500 101.094
1975-08-27 00:00:00 26.037 17.400 145.658
1975-08-28 00:00:00 24.658 17.900 102.721
1975-08-29 00:00:00 23.352 18.100 142.890
1975-08-30 00:00:00 21.919 18.400 136.163
1975-09-02 00:00:00 17.858 19.300 156.012
1975-09-03 00:00:00 17.133 19.100 147.838
1975-09-04 00:00:00 16.212 19.100 95.464
1975-09-05 00:00:00 16.687 18.200 121.478
1975-09-06 00:00:00 17.175 18.200 90.812
1975-09-09 00:00:00 19.956 17.400 52.350
1975-09-10 00:00:00 26.034 17.600 86.667
1975-09-11 00:00:00 29.381 17.600 57.304
1975-09-12 00:00:00 33.157 17.200 53.848
1975-09-13 00:00:00 34.358 17.200 42.001
1975-09-16 00:00:00 40.453 16.800 49.644
1975-09-17 00:00:00 44.357 16.800 51.236
1975-09-18 00:00:00 49.760 17.000 40.318
1975-09-19 00:00:00 46.556 17.100 28.012
1975-09-20 00:00:00 45.802 17.000 21.043
1975-09-23 00:00:00 40.040 16.800 14.407
1975-09-24 00:00:00 36.164 16.600 16.287
1975-09-25 00:00:00 32.484 16.600 18.247
1975-09-26 00:00:00 30.020 16.600 11.967
1975-09-27 00:00:00 27.991 16.400 14.875
1975-09-30 00:00:00 20.525 15.900 29.192
1975-10-01 00:00:00 18.466 16.200 10.243
1975-10-02 00:00:00 16.360 16.100 11.093
1975-10-03 00:00:00 14.541 16.000 11.670
1975-10-04 00:00:00 13.504 16.000 9.697
1975-10-07 00:00:00 10.366 15.600 8.863
1975-10-08 00:00:00 10.000 15.000 11.801
1975-10-09 00:00:00 10.349 14.500 12.159
1975-10-10 00:00:00 9.755 14.500 14.663
1975-10-11 00:00:00 9.385 14.200 13.442
1975-10-14 00:00:00 8.065 14.000 13.613
1975-10-15 00:00:00 8.610 13.100 13.788
1975-10-16 00:00:00 9.187 13.200 10.682
1975-10-17 00:00:00 10.518 14.000 13.607
1975-10-18 00:00:00 10.536 13.800 10.951
1975-10-21 00:00:00 10.447 12.900 8.433
1975-10-22 00:00:00 11.402 12.700 9.342
1975-10-23 00:00:00 12.177 12.800 10.510
1975-10-24 00:00:00 12.629 13.000 7.975
1975-10-25 00:00:00 12.628 13.200 11.260
1975-10-28 00:00:00 13.137 12.900 6.713
1975-10-29 00:00:00 13.768 12.800 8.735
1975-10-30 00:00:00 13.472 12.400 5.937
1975-10-31 00:00:00 12.507 12.500 5.937
1975-11-01 00:00:00 11.610 12.400 5.466
1975-11-04 00:00:00 8.973 12.400 7.138
1975-11-05 00:00:00 8.549 12.400 6.399
1975-11-06 00:00:00 7.940 12.000 6.040
1975-11-07 00:00:00 7.908 12.000 5.980
1975-11-08 00:00:00 7.687 11.800 5.855
